#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: DEMO
#Date Time: 2020-01-21 10:48:19.380
#Sample rate: 1333.33Hz
#Samples: 8000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1 V
#Channel 2: Range: 500 mV/div Offset: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.90975000000000006,0.28340317336696574,-0.27333895339952008
-0.90900000000000003,0.29627849760476632,-0.26572875057163925
-0.90825,0.30321136450204378,-0.26374348026871353
-0.90749999999999997,0.30156068190745389,-0.27003016956131098
-0.90675000000000006,0.32169900956144981,-0.25414800713790742
-0.90600000000000003,0.37617153518291446,-0.20253097926184616
-0.90525000000000011,0.4204098287179221,-0.16050942451659145
-0.90450000000000008,0.45375361712863671,-0.12874509966978431
-0.90375000000000005,0.48082481167991009,-0.102274828964112
-0.90300000000000002,0.49039877072853111,-0.092348477449485156
-0.90225,0.49303986287987489,-0.088708815227454885
-0.90149999999999997,0.48148508471774609,-0.10028955866118672
-0.90075000000000005,0.45342348060971882,-0.12841422128596358
-0.90000000000000013,0.41809887308549643,-0.16381820835480054
-0.8992500000000001,0.39399890720448472,-0.18830320875754758
-0.89850000000000008,0.37187976043698101,-0.21212645239265271
-0.89775000000000005,0.34546883892354363,-0.2399202366336084
-0.89700000000000002,0.3117949139939109,-0.27466246693480345
-0.89624999999999999,0.28934563070748909,-0.29749307541844594
-0.89550000000000007,0.28472371944263752,-0.30311800794340149
-0.89475000000000005,0.27316894128050873,-0.31502962976095406
-0.89400000000000013,0.26293470919405171,-0.3256177380432228
-0.8932500000000001,0.23586351464277833,-0.35374240066799967
-0.89250000000000007,0.25765252489136414,-0.33322794087110363
-0.89175000000000004,0.28538399248047353,-0.30675767016543132
-0.89100000000000001,0.32103873652361403,-0.27201543986423626
-0.89024999999999999,0.34084692765869207,-0.25480976390554932
-0.88950000000000007,0.32995242253439905,-0.27168456148041553
-0.88875000000000004,0.31014423139932101,-0.29782395380226667
-0.88800000000000012,0.31971819044794203,-0.2925298996611323
-0.88725000000000009,0.30717300272905934,-0.3094046972359985
-0.88650000000000007,0.35141129626406697,-0.26804489925838526
-0.88575000000000004,0.42007969219900421,-0.20186922249420425
-0.88500000000000001,0.47224126218804297,-0.15025219461814343
-0.88424999999999998,0.48643713250151555,-0.1386714511844116
-0.88350000000000006,0.50723573319334747,-0.12113489684190348
-0.88275000000000003,0.51879051135547627,-0.11153942371109737
-0.88200000000000012,0.51879051135547627,-0.11187030209491855
-0.88125000000000009,0.48709740553935155,-0.14330374855790451
-0.88050000000000006,0.45375361712863671,-0.17572983017235311
-0.87975000000000003,0.41644819049090653,-0.21179557400883153
-0.879,0.39234822460989482,-0.23396442572483211
-0.87824999999999998,0.37617153518291446,-0.24819219622913113
-0.87750000000000006,0.35801402664242632,-0.26374348026871353
-0.87675000000000003,0.32103873652361403,-0.29716219703462521
-0.87600000000000011,0.299909999312864,-0.31502962976095406
-0.87525000000000008,0.33193324164790683,-0.27929476430829636
-0.87450000000000006,0.35273184233973875,-0.25514064228937006
-0.87375000000000003,0.32467023823171148,-0.28227266976268428
-0.873,0.33127296861007083,-0.280287399459759
-0.87224999999999997,0.35273184233973875,-0.26605962895545998
-0.87150000000000005,0.36923866828563723,-0.26043469643050443
-0.87075000000000002,0.38739617682612537,-0.25447888552172815
-0.87000000000000011,0.38607563075045359,-0.27102280471277362
-0.86925000000000008,0.39234822460989482,-0.28128003461122164
-0.86850000000000005,0.41710846352874231,-0.27466246693480345
-0.86775000000000002,0.4332851529557229,-0.28061827784357973
-0.86699999999999999,0.45078238845837504,-0.2835961832979681
-0.86625000000000008,0.52671378780950762,-0.23363354734101138
-0.86550000000000005,0.5501534806526831,-0.23826584471450385
-0.86475000000000013,0.61552051139844077,-0.20220010087802542
-0.8640000000000001,0.66239989708479197,-0.18433266815169658
-0.86325000000000007,0.68980122815498324,-0.18929584390901022
-0.86250000000000004,0.70300668891170193,-0.2074941550191598
-0.86175000000000002,0.71819296878192862,-0.22966300673516038
-0.86099999999999999,0.69211218378740913,-0.29352253481259494
-0.86025000000000007,0.66504098923613575,-0.35705118450620876
-0.85950000000000004,0.64391225202538593,-0.41561665844250895
-0.85875000000000012,0.65546703018751473,-0.4430795642996439
-0.8580000000000001,0.67890672303069044,-0.4592926051068682
-0.85725000000000007,0.66636153531180775,-0.51256402490203401
-0.85650000000000004,0.62971638171191335,-0.58998956671612568
-0.85575000000000001,0.6125492827281791,-0.6495476758038885
-0.85499999999999998,0.61882187658762033,-0.67998848711541182
-0.85425000000000006,0.62179310525788201,-0.70248821721523358
-0.85350000000000004,0.61552051139844077,-0.70877490650783059
-0.85275000000000012,0.64358211550646782,-0.70811314974018869
-0.85200000000000009,0.6851793168901319,-0.70877490650783059
-0.85125000000000006,0.71522174011166673,-0.71042929842693514
-0.85050000000000003,0.75747921453316658,-0.7094366632754725
-0.84975000000000001,0.80303805414384599,-0.70645875782108414
-0.84899999999999998,0.81855447053299057,-0.70811314974018869
-0.84825000000000006,0.83737225211131472,-0.70877490650783059
-0.84750000000000003,0.83968320774374039,-0.71009842004311441
-0.84675000000000011,0.8644434466625881,-0.70976754165929323
-0.84600000000000009,0.93806389038129478,-0.70381173075051695
-0.84525000000000006,0.97239808834876329,-0.69984119014466639
-0.84450000000000003,1.0130048801756733,-0.69156923054914365
-0.84375,1.0598842658620247,-0.66840774368168043
-0.84299999999999997,1.0803527300349387,-0.6601357840861577
-0.84225000000000005,1.0803527300349387,-0.66774598691403853
-0.84150000000000003,1.0737499996565791,-0.680319365499233
-0.84075000000000011,1.0503103068134036,-0.70083382529612903
-0.84000000000000008,1.0281911600458997,-0.70480436590197959
-0.83925000000000005,0.99913914638111856,-0.71009842004311441
-0.83850000000000002,0.98197204739738431,-0.71042929842693514
-0.83774999999999999,0.9714076787920094,-0.71042929842693514
-0.83699999999999997,0.93740361734345878,-0.71042929842693514
-0.83625000000000005,0.91330365146244707,-0.71042929842693514
-0.83550000000000002,0.89844750811113872,-0.71042929842693514
-0.8347500000000001,0.86510371970042388,-0.71042929842693514
-0.83400000000000007,0.82944897565728337,-0.71042929842693514
-0.83325000000000005,0.81855447053299057,-0.71042929842693514
-0.83250000000000002,0.83010924869511937,-0.71042929842693514
-0.83174999999999999,0.8400133442626585,-0.71042929842693514
-0.83100000000000007,0.86114208147340832,-0.71042929842693514
-0.83025000000000004,0.87764890741930657,-0.71042929842693514
-0.82950000000000013,0.87302699615445523,-0.71042929842693514
-0.8287500000000001,0.87962972653281457,-0.71042929842693514
-0.82800000000000007,0.89151464121386126,-0.71042929842693514
-0.82725000000000004,0.88326122824091202,-0.71042929842693514
-0.82650000000000001,0.92650911221916576,-0.70976754165929323
-0.82574999999999998,0.97966109176495864,-0.70116470367994976
-0.82500000000000007,1.0097035149864935,-0.68428990610508356
-0.82425000000000004,1.1031321498402784,-0.6009085533822156
-0.82350000000000012,1.1318540269861415,-0.56583544469719982
-0.82275000000000009,1.1222800679375204,-0.5717912556059761
-0.82200000000000006,1.1206293853429306,-0.5757617962118271
-0.82125000000000004,1.0876157334511338,-0.60984226974538025
-0.82050000000000001,1.0522911259269114,-0.6439227432789334
-0.81974999999999998,1.0331432078296694,-0.66476808145965016
-0.81900000000000006,1.0199377470729507,-0.68693693317565074
-0.81825000000000003,0.99319668904059522,-0.69454713600353157
-0.81750000000000012,0.95192962417584925,-0.70645875782108414
-0.81675000000000009,0.91990638184080642,-0.71009842004311441
-0.81600000000000006,0.90075846374356439,-0.71042929842693514
-0.81525000000000003,0.90802146715975973,-0.71042929842693514
-0.8145,0.89481600640304104,-0.71042929842693514
-0.81375000000000008,0.90306941937599006,-0.71042929842693514
-0.81300000000000006,0.90901187671651362,-0.71042929842693514
-0.81225000000000003,0.9232077470299862,-0.71042929842693514
-0.81150000000000011,0.95820221803529071,-0.71042929842693514
-0.81075000000000008,0.96579535797040394,-0.71042929842693514
-0.81000000000000005,0.99187614296492344,-0.71042929842693514
-0.80925000000000002,1.0146555627702631,-0.71042929842693514
-0.8085,1.0123446071378372,-0.71042929842693514
-0.80775000000000008,1.0192774740351145,-0.71042929842693514
-0.80700000000000005,1.0311623887161614,-0.71042929842693514
-0.80625000000000002,1.1028020133213603,-0.71042929842693514
-0.8055000000000001,1.1562841293860711,-0.71042929842693514
-0.80475000000000008,1.2008525594399966,-0.71042929842693514
-0.80400000000000005,1.2384881225966449,-0.71042929842693514
-0.80325000000000002,1.2645689075911641,-0.71042929842693514
-0.80249999999999999,1.2817360065748984,-0.71042929842693514
-0.80175000000000007,1.2817360065748984,-0.71042929842693514
-0.80100000000000005,1.2516935833533636,-0.71042929842693514
-0.80025000000000002,1.2246223888020902,-0.71042929842693514
-0.7995000000000001,1.2226415696885824,-0.71042929842693514
-0.79875000000000007,1.2150484297534692,-0.71042929842693514
-0.79800000000000004,1.1883073717211139,-0.71042929842693514
-0.79725000000000001,1.1790635491914108,-0.71042929842693514
-0.79649999999999999,1.1519923546401374,-0.71042929842693514
-0.79575000000000007,1.1447293512239423,-0.71042929842693514
-0.79500000000000004,1.1325143000239772,-0.71042929842693514
-0.79425000000000001,1.1193088392672585,-0.71042929842693514
-0.79350000000000009,1.0935581907916574,-0.71042929842693514
-0.79275000000000007,1.0866253238943799,-0.71042929842693514
-0.79200000000000004,1.0958691464240831,-0.71042929842693514
-0.79125000000000001,1.1097348802186375,-0.71042929842693514
-0.79049999999999998,1.1434088051482703,-0.71042929842693514
-0.78975000000000006,1.1638772693211843,-0.71042929842693514
-0.78900000000000003,1.1698197266617076,-0.71042929842693514
-0.78825000000000001,1.1747717744454773,-0.71042929842693514
-0.78750000000000009,1.1774128665968209,-0.71042929842693514
-0.78675000000000006,1.205804607223766,-0.71042929842693514
-0.78600000000000003,1.2480620816452659,-0.71042929842693514
-0.78525,1.2817360065748984,-0.71042929842693514
-0.78449999999999998,1.3150797949856132,-0.71042929842693514
-0.78375000000000006,1.3494139929530817,-0.71042929842693514
-0.78300000000000003,1.359648225039539,-0.71042929842693514
-0.78225000000000011,1.3451222182071483,-0.71042929842693514
-0.78150000000000008,1.3233332079585625,-0.71042929842693514
-0.78075000000000006,1.2909798291046015,-0.71042929842693514
-0.78000000000000003,1.2460812625317581,-0.71042929842693514
-0.77925,1.2193402044994026,-0.71042929842693514
-0.77850000000000008,1.2087758358940279,-0.71042929842693514
-0.77775000000000005,1.1859964160886882,-0.71042929842693514
-0.77700000000000002,1.1704799996995436,-0.71042929842693514
-0.77625000000000011,1.1305334809104695,-0.71042929842693514
-0.77550000000000008,1.1219499314186026,-0.71042929842693514
-0.77475000000000005,1.1193088392672585,-0.71042929842693514
-0.77400000000000002,1.0915773716781494,-0.71042929842693514
-0.77324999999999999,1.0770513648457589,-0.71042929842693514
-0.77250000000000008,1.0843143682619543,-0.71042929842693514
-0.77175000000000005,1.0905869621213955,-0.71042929842693514
-0.77100000000000002,1.0952088733862471,-0.71042929842693514
-0.7702500000000001,1.1173280201537508,-0.71042929842693514
-0.76950000000000007,1.1387868938834187,-0.71042929842693514
-0.76875000000000004,1.1635471328022664,-0.71042929842693514
-0.76800000000000002,1.167508771029282,-0.71042929842693514
-0.76724999999999999,1.1684991805860356,-0.71042929842693514
-0.76650000000000007,1.2183497949426489,-0.71042929842693514
